@@object,@@object_lifecycle_length,@@object_general_interaction_graph,@@ocel_lif_activity_A_Validating,@@ocel_lif_activity_A_Incomplete,@@ocel_lif_activity_W_Call incomplete files,@@ocel_lif_activity_A_Accepted,@@ocel_lif_activity_A_Concept,@@ocel_lif_activity_W_Validate application,@@ocel_lif_activity_W_Shortened completion ,@@ocel_lif_activity_O_Created,@@ocel_lif_activity_O_Returned,@@ocel_lif_activity_O_Sent (online only),@@ocel_lif_activity_W_Assess potential fraud,@@ocel_lif_activity_W_Call after offers,@@ocel_lif_activity_O_Create Offer,@@ocel_lif_activity_W_Personal Loan collection,@@ocel_lif_activity_W_Handle leads,@@ocel_lif_activity_A_Submitted,@@ocel_lif_activity_O_Refused,@@ocel_lif_activity_O_Sent (mail and online),@@ocel_lif_activity_A_Denied,@@ocel_lif_activity_A_Create Application,@@ocel_lif_activity_A_Complete,@@ocel_lif_activity_O_Cancelled,@@ocel_lif_activity_W_Complete application,@@object_lifecycle_unq_act,cluster
 Application_991699701 Offer_1530231808,-0.6842105263157895,-1.0,-0.6666666666666667,-1.0,-1.0,-1.0,-1.0,-0.5,-1.0,-1.0,-0.3333333333333333,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,1.0,-1.0,-0.7142857142857143,-1.0,-1.0,1.0,-1.0,-0.75,-0.5,0
 Application_514138804 Offer_725725923,-0.5789473684210527,-1.0,-0.3333333333333333,-0.6,-0.6,-1.0,-1.0,-0.5,-1.0,-1.0,-0.3333333333333333,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,1.0,-1.0,-0.7142857142857143,-1.0,-1.0,1.0,-1.0,-0.75,-0.375,2
 Offer_89209775 Application_864662158,-0.7192982456140351,-1.0,-0.6666666666666667,-1.0,-1.0,-1.0,-1.0,-0.75,-1.0,-1.0,-0.3333333333333333,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,1.0,-1.0,-0.7142857142857143,-1.0,-1.0,1.0,-1.0,-0.75,-0.5,0
 Offer_631564972 Application_1219181058,-0.6842105263157895,-1.0,-0.6666666666666667,-1.0,-1.0,-1.0,-1.0,-0.75,-1.0,-1.0,-0.3333333333333333,-1.0,-1.0,0.0,-1.0,-1.0,-0.5,1.0,-1.0,-0.7142857142857143,-1.0,-1.0,1.0,-1.0,-0.75,-0.4375,0
 Application_1218931958 Offer_1083654133,-0.5789473684210527,-1.0,-0.3333333333333333,-0.6,-0.6,-1.0,-1.0,-0.5,-1.0,-1.0,-0.3333333333333333,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,1.0,-1.0,-0.7142857142857143,-1.0,-1.0,1.0,-1.0,-0.75,-0.375,2
 Offer_92822872 Application_179733215,-0.8245614035087719,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,1.0,-1.0,-0.7142857142857143,-1.0,-1.0,1.0,-1.0,-0.75,-0.6875,0
 Offer_948128804 Application_74080697,-0.7192982456140351,-1.0,-0.6666666666666667,-1.0,-1.0,-1.0,-1.0,-0.75,-1.0,-1.0,-0.3333333333333333,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,1.0,-1.0,-0.7142857142857143,-1.0,-1.0,1.0,-1.0,-0.75,-0.5,0
 Application_1507175319 Offer_1675341385,-0.5789473684210527,-1.0,-0.3333333333333333,-0.6,-0.6,-1.0,-1.0,-0.5,-1.0,-1.0,-0.3333333333333333,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,1.0,-1.0,-0.7142857142857143,-1.0,-1.0,1.0,-1.0,-0.75,-0.375,2
 Offer_970077980 Application_1546185620 Offer_1423962330,-0.5087719298245614,-0.75,-0.6666666666666667,-1.0,-1.0,-1.0,-1.0,-0.75,-1.0,-0.75,-0.3333333333333333,-1.0,-1.0,0.0,-0.75,-1.0,-1.0,1.0,-0.7142857142857142,-0.4285714285714286,-1.0,-1.0,1.0,-1.0,-0.75,-0.3125,3
 Offer_2054359256 Offer_751624514 Application_62138795,-0.543859649122807,-0.75,-0.6666666666666667,-1.0,-1.0,-1.0,-1.0,-0.75,-1.0,-0.75,-0.3333333333333333,-1.0,-1.0,0.0,-0.75,-1.0,-1.0,-1.0,-0.7142857142857142,-0.4285714285714286,-1.0,-1.0,1.0,-1.0,-0.75,-0.375,1
 Application_969699413 Offer_1937830505,-0.7192982456140351,-1.0,-0.6666666666666667,-1.0,-1.0,-1.0,-1.0,-0.75,-1.0,-1.0,-0.3333333333333333,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,1.0,-1.0,-0.7142857142857143,-1.0,-1.0,1.0,-1.0,-0.75,-0.5,0
 Offer_533974625 Application_116128683,-0.6491228070175439,-1.0,-0.6666666666666667,-0.6,-0.6,-1.0,-1.0,-0.75,-1.0,-1.0,-0.3333333333333333,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,1.0,-1.0,-0.7142857142857143,-1.0,-1.0,1.0,-1.0,-0.75,-0.375,2
 Offer_1063525539 Application_569478541,-0.7192982456140351,-1.0,-0.6666666666666667,-1.0,-1.0,-1.0,-1.0,-0.75,-1.0,-1.0,-0.3333333333333333,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,1.0,-1.0,-0.7142857142857143,-1.0,-1.0,1.0,-1.0,-0.75,-0.5,0
 Application_1402152809 Offer_907948399,-0.7192982456140351,-1.0,-0.6666666666666667,-1.0,-1.0,-1.0,-1.0,-0.75,-1.0,-1.0,-0.3333333333333333,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,1.0,-1.0,-0.7142857142857143,-1.0,-1.0,1.0,-1.0,-0.75,-0.5,0
 Application_2101854749 Offer_1603371332,-0.7543859649122807,-1.0,-0.6666666666666667,-1.0,-1.0,-1.0,-1.0,-0.75,-1.0,-1.0,-0.3333333333333333,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.7142857142857143,-1.0,-1.0,1.0,-1.0,-0.75,-0.5625,1
 Application_1214377208 Offer_1004864262,-0.7192982456140351,-1.0,-0.6666666666666667,-1.0,-1.0,-1.0,-1.0,-0.75,-1.0,-1.0,-0.3333333333333333,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,1.0,-1.0,-0.7142857142857143,-1.0,-1.0,1.0,-1.0,-0.75,-0.5,0
 Application_54673097 Offer_735281987 Offer_1487658260,-0.4385964912280702,-0.75,-0.3333333333333333,-0.6,-0.6,-1.0,-1.0,-0.5,-1.0,-0.75,-0.3333333333333333,-1.0,-1.0,0.0,-0.75,-1.0,-1.0,-1.0,-1.0,-0.7142857142857143,-1.0,-1.0,1.0,-0.3333333333333333,-0.75,-0.25,4
 Offer_1718811182 Application_2074357653,-0.7543859649122807,-1.0,-0.6666666666666667,-1.0,-1.0,-1.0,-1.0,-0.75,-1.0,-1.0,-0.3333333333333333,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.7142857142857143,-1.0,-1.0,1.0,-1.0,-0.75,-0.5625,1
 Offer_933852141 Application_571989765,-0.7192982456140351,-1.0,-0.6666666666666667,-1.0,-1.0,-1.0,-1.0,-0.75,-1.0,-1.0,-0.3333333333333333,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,1.0,-1.0,-0.7142857142857143,-1.0,-1.0,1.0,-1.0,-0.75,-0.5,0
 Application_1832359699 Offer_819568261,-0.7192982456140351,-1.0,-0.6666666666666667,-1.0,-1.0,-1.0,-1.0,-0.75,-1.0,-1.0,-0.3333333333333333,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,1.0,-1.0,-0.7142857142857143,-1.0,-1.0,1.0,-1.0,-0.75,-0.5,0
 Offer_1501524064 Application_1196269002,-0.7192982456140351,-1.0,-0.6666666666666667,-1.0,-1.0,-1.0,-1.0,-0.75,-1.0,-1.0,-0.3333333333333333,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,1.0,-1.0,-0.7142857142857143,-1.0,-1.0,1.0,-1.0,-0.75,-0.5,0
 Offer_1265793871 Application_1112590740,-0.6140350877192983,-1.0,-0.3333333333333333,-0.6,-0.6,-1.0,-1.0,-0.5,-1.0,-1.0,-0.3333333333333333,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.7142857142857143,-1.0,-1.0,1.0,-1.0,-0.75,-0.4375,4
 Application_1985722666 Offer_1218324614,-0.6491228070175439,-1.0,-0.6666666666666667,-0.6,-0.6,-1.0,-1.0,-0.75,-1.0,-1.0,-0.3333333333333333,-1.0,-0.3333333333333333,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.7142857142857143,-1.0,-1.0,1.0,-1.0,-0.75,-0.375,4
 Offer_179273790 Application_1924874657,-0.6842105263157895,-1.0,-0.6666666666666667,-1.0,-1.0,-1.0,-1.0,-0.75,-1.0,-1.0,-0.3333333333333333,-1.0,-1.0,0.0,-1.0,-1.0,-0.5,1.0,-1.0,-0.7142857142857143,-1.0,-1.0,1.0,-1.0,-0.75,-0.4375,0
 Offer_1179082270 Application_1886874833 Offer_1392243545,-0.543859649122807,-0.75,-0.6666666666666667,-1.0,-1.0,-1.0,-1.0,-0.75,-1.0,-0.75,-0.3333333333333333,-0.6666666666666667,-1.0,0.0,-0.75,-1.0,-1.0,-1.0,-0.7142857142857142,-0.7142857142857143,-1.0,-1.0,1.0,-1.0,-0.75,-0.375,1
 Application_1476439335 Offer_139151122,-0.5789473684210527,-1.0,-0.3333333333333333,-0.6,-0.6,-1.0,-1.0,-0.5,-1.0,-1.0,-0.3333333333333333,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,1.0,-1.0,-0.7142857142857143,-1.0,-1.0,1.0,-1.0,-0.75,-0.375,2
 Application_549784946 Offer_902222499,-0.6842105263157895,-1.0,-0.6666666666666667,-1.0,-1.0,-1.0,-1.0,-0.75,-1.0,-1.0,-0.3333333333333333,-1.0,-1.0,0.0,-1.0,-1.0,-0.5,1.0,-1.0,-0.7142857142857143,-1.0,-1.0,1.0,-1.0,-0.75,-0.4375,0
 Application_1259512676 Offer_244159584,-0.543859649122807,-1.0,-0.3333333333333333,-0.6,-0.6,-1.0,-1.0,-0.5,-1.0,-1.0,-0.3333333333333333,-1.0,-1.0,0.0,-1.0,-1.0,-0.5,1.0,-1.0,-0.7142857142857143,-1.0,-1.0,1.0,-1.0,-0.75,-0.3125,2
 Offer_1916441487 Application_2030605346,-0.7192982456140351,-1.0,-0.6666666666666667,-1.0,-1.0,-1.0,-1.0,-0.75,-1.0,-1.0,-0.3333333333333333,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,1.0,-1.0,-0.7142857142857143,-1.0,-1.0,1.0,-1.0,-0.75,-0.5,0
 Offer_541327518 Application_1123488128,-0.6842105263157895,-1.0,-0.6666666666666667,-1.0,-1.0,-1.0,-1.0,-0.75,-1.0,-1.0,-0.3333333333333333,-1.0,-1.0,0.0,-1.0,-1.0,-0.5,1.0,-1.0,-0.7142857142857143,-1.0,-1.0,1.0,-1.0,-0.75,-0.4375,0
 Offer_1323572551 Application_1329813348,-0.543859649122807,-1.0,-0.3333333333333333,-0.6,-0.6,-1.0,-1.0,-0.5,-1.0,-1.0,-0.3333333333333333,-1.0,-1.0,0.0,-1.0,-1.0,-0.5,1.0,-1.0,-0.7142857142857143,-1.0,-1.0,1.0,-1.0,-0.75,-0.3125,2
 Application_1312126160 Offer_1455088452,-0.543859649122807,-1.0,-0.3333333333333333,-0.6,-0.6,-1.0,-1.0,-0.5,-1.0,-1.0,-0.3333333333333333,-1.0,-1.0,0.0,-1.0,-1.0,-0.5,1.0,-1.0,-0.7142857142857143,-1.0,-1.0,1.0,-1.0,-0.75,-0.3125,2
 Offer_675701277 Application_537160858,-0.5789473684210527,-1.0,-0.3333333333333333,-0.6,-0.6,-1.0,-1.0,-0.5,-1.0,-1.0,-0.3333333333333333,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,1.0,-1.0,-0.7142857142857143,-1.0,-1.0,1.0,-1.0,-0.75,-0.375,2
 Application_672030546 Offer_1124720894,-0.7192982456140351,-1.0,-0.6666666666666667,-1.0,-1.0,-1.0,-1.0,-0.75,-1.0,-1.0,-0.3333333333333333,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,1.0,-1.0,-0.7142857142857143,-1.0,-1.0,1.0,-1.0,-0.75,-0.5,0
 Application_80709811 Offer_752666963,-0.7543859649122807,-1.0,-0.6666666666666667,-1.0,-1.0,-1.0,-1.0,-0.75,-1.0,-1.0,-0.3333333333333333,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.7142857142857143,-1.0,-1.0,1.0,-1.0,-0.75,-0.5625,1
 Offer_776382720 Application_1332471896,-0.7543859649122807,-1.0,-0.6666666666666667,-1.0,-1.0,-1.0,-1.0,-0.75,-1.0,-1.0,-0.3333333333333333,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,1.0,-1.0,-0.7142857142857143,-1.0,-1.0,1.0,-1.0,-1.0,-0.5625,0
 Application_1000806256 Offer_1137169207,-0.7543859649122807,-1.0,-0.6666666666666667,-1.0,-1.0,-1.0,-1.0,-0.75,-1.0,-1.0,-0.3333333333333333,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.7142857142857143,-1.0,-1.0,1.0,-1.0,-0.75,-0.5625,1
 Application_1702772063 Offer_1718317565,-0.7192982456140351,-1.0,-0.6666666666666667,-1.0,-1.0,-1.0,-1.0,-0.75,-1.0,-1.0,-0.3333333333333333,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,1.0,-1.0,-0.7142857142857143,-1.0,-1.0,1.0,-1.0,-0.75,-0.5,0
 Application_1323210480 Offer_1498893685,-0.7543859649122807,-1.0,-0.6666666666666667,-1.0,-1.0,-1.0,-1.0,-0.75,-1.0,-1.0,-0.3333333333333333,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.7142857142857143,-1.0,-1.0,1.0,-1.0,-0.75,-0.5625,1
 Application_1116530723 Offer_1143812361,-0.7543859649122807,-1.0,-0.6666666666666667,-1.0,-1.0,-1.0,-1.0,-0.75,-1.0,-1.0,-0.3333333333333333,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,1.0,-1.0,-0.7142857142857143,-1.0,-1.0,1.0,-1.0,-1.0,-0.5625,0
 Application_1607895825 Offer_1850536323,-0.7543859649122807,-1.0,-0.6666666666666667,-1.0,-1.0,-1.0,-1.0,-0.75,-1.0,-1.0,-0.3333333333333333,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.7142857142857143,-1.0,-1.0,1.0,-1.0,-0.75,-0.5625,1
 Application_481024503 Offer_879111472,-0.7192982456140351,-1.0,-0.6666666666666667,-1.0,-1.0,-1.0,-1.0,-0.75,-1.0,-1.0,-0.3333333333333333,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,1.0,-1.0,-0.7142857142857143,-1.0,-1.0,1.0,-1.0,-0.75,-0.5,0
 Offer_1389178808 Application_1016339725,-0.7543859649122807,-1.0,-0.6666666666666667,-1.0,-1.0,-1.0,-1.0,-0.75,-1.0,-1.0,-0.3333333333333333,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,1.0,-1.0,-0.7142857142857143,-1.0,-1.0,1.0,-1.0,-1.0,-0.5625,0
 Application_182600029 Offer_1761001259,-0.6842105263157895,-1.0,-0.6666666666666667,-1.0,-1.0,-1.0,-1.0,-0.75,-1.0,-1.0,-0.3333333333333333,-1.0,-1.0,0.0,-1.0,-1.0,-0.5,1.0,-1.0,-0.7142857142857143,-1.0,-1.0,1.0,-1.0,-0.75,-0.4375,0
 Offer_653915807 Application_278234732,-0.7192982456140351,-1.0,-0.6666666666666667,-1.0,-1.0,-1.0,-1.0,-0.75,-1.0,-1.0,-0.3333333333333333,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,1.0,-1.0,-0.7142857142857143,-1.0,-1.0,1.0,-1.0,-0.75,-0.5,0
 Application_1797125617 Offer_1029451681,-0.7192982456140351,-1.0,-0.6666666666666667,-1.0,-1.0,-1.0,-1.0,-0.75,-1.0,-1.0,-0.3333333333333333,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,1.0,-1.0,-0.7142857142857143,-1.0,-1.0,1.0,-1.0,-0.75,-0.5,0
 Offer_231051656 Application_1173884382,-0.6842105263157895,-1.0,-0.6666666666666667,-1.0,-1.0,-1.0,-1.0,-0.75,-1.0,-1.0,-0.3333333333333333,-1.0,-1.0,0.0,-1.0,-1.0,-0.5,1.0,-1.0,-0.7142857142857143,-1.0,-1.0,1.0,-1.0,-0.75,-0.4375,0
 Application_93983838 Offer_1932895503,-0.6842105263157895,-1.0,-0.6666666666666667,-1.0,-1.0,-1.0,-1.0,-0.75,-1.0,-1.0,-0.3333333333333333,-1.0,-1.0,0.0,-1.0,-1.0,-0.5,1.0,-1.0,-0.7142857142857143,-1.0,-1.0,1.0,-1.0,-0.75,-0.4375,0
 Application_172749595 Offer_256396892,-0.7543859649122807,-1.0,-0.6666666666666667,-1.0,-1.0,-1.0,-1.0,-0.75,-1.0,-1.0,-0.3333333333333333,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.7142857142857143,-1.0,-1.0,1.0,-1.0,-0.75,-0.5625,1
 Application_27118645 Offer_1855819498,-0.6140350877192983,-1.0,-0.3333333333333333,-0.6,-0.6,-1.0,-1.0,-0.5,-1.0,-1.0,-0.3333333333333333,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.7142857142857143,-1.0,-1.0,1.0,-1.0,-0.75,-0.4375,4
 Application_1109152833 Offer_663715373 Offer_270614251 Offer_40165299,-0.2982456140350877,-0.5,-0.6666666666666667,-1.0,-1.0,-1.0,-1.0,-0.75,-1.0,-0.5,-0.3333333333333333,-0.6666666666666667,-1.0,0.0,-0.5,-1.0,-1.0,1.0,-0.4285714285714285,-0.4285714285714286,-1.0,-1.0,1.0,-1.0,-0.75,-0.125,3
 Application_690014758 Offer_679461639,-0.6140350877192983,-1.0,-0.3333333333333333,-0.6,-0.6,-1.0,-1.0,-0.5,-1.0,-1.0,-0.3333333333333333,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.7142857142857143,-1.0,-1.0,1.0,-1.0,-0.75,-0.4375,4
 Offer_742974958 Application_1612622692,-0.7192982456140351,-1.0,-0.6666666666666667,-1.0,-1.0,-1.0,-1.0,-0.75,-1.0,-1.0,-0.3333333333333333,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,1.0,-1.0,-0.7142857142857143,-1.0,-1.0,1.0,-1.0,-0.75,-0.5,0
 Offer_320144973 Application_527363620,-0.7192982456140351,-1.0,-0.6666666666666667,-1.0,-1.0,-1.0,-1.0,-0.75,-1.0,-1.0,-0.3333333333333333,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,1.0,-1.0,-0.7142857142857143,-1.0,-1.0,1.0,-1.0,-0.75,-0.5,0
 Application_1180232047 Offer_1641838209 Offer_1825225572,-0.543859649122807,-0.75,-0.6666666666666667,-1.0,-1.0,-1.0,-1.0,-0.75,-1.0,-0.75,-0.3333333333333333,-1.0,-1.0,0.0,-0.75,-1.0,-1.0,-1.0,-0.7142857142857142,-0.4285714285714286,-1.0,-1.0,1.0,-1.0,-0.75,-0.375,1
 Application_710573029 Offer_1422376850,-0.8245614035087719,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,1.0,-1.0,-0.7142857142857143,-1.0,-1.0,1.0,-1.0,-0.75,-0.6875,0
 Application_705004048 Offer_226168408 Offer_192923257,-0.543859649122807,-0.75,-0.6666666666666667,-1.0,-1.0,-1.0,-1.0,-0.75,-1.0,-0.75,-0.3333333333333333,-1.0,-1.0,0.0,-0.75,-1.0,-1.0,-1.0,-0.7142857142857142,-0.4285714285714286,-1.0,-1.0,1.0,-1.0,-0.75,-0.375,1
 Application_1839533971 Offer_1402781510,-0.543859649122807,-1.0,-0.3333333333333333,-0.6,-0.6,-1.0,-1.0,-0.5,-1.0,-1.0,-0.3333333333333333,-1.0,-1.0,0.0,-1.0,-1.0,-0.5,1.0,-1.0,-0.7142857142857143,-1.0,-1.0,1.0,-1.0,-0.75,-0.3125,2
 Offer_1338920056 Application_70463787 Offer_610452868,-0.5087719298245614,-0.75,-0.6666666666666667,-1.0,-1.0,-1.0,-1.0,-0.75,-1.0,-0.75,-0.3333333333333333,-1.0,-1.0,0.0,-0.75,-1.0,-1.0,1.0,-0.7142857142857142,-0.4285714285714286,-1.0,-1.0,1.0,-1.0,-0.75,-0.3125,3
 Offer_1862080528 Application_1006058240,-0.7192982456140351,-1.0,-0.6666666666666667,-1.0,-1.0,-1.0,-1.0,-0.75,-1.0,-1.0,-0.3333333333333333,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,1.0,-1.0,-0.7142857142857143,-1.0,-1.0,1.0,-1.0,-0.75,-0.5,0
 Offer_720153286 Offer_145224774 Application_1193970472,-0.5087719298245614,-0.75,-0.6666666666666667,-1.0,-1.0,-1.0,-1.0,-0.75,-1.0,-0.75,-0.3333333333333333,-1.0,-1.0,0.0,-0.75,-1.0,-1.0,1.0,-0.7142857142857142,-0.4285714285714286,-1.0,-1.0,1.0,-1.0,-0.75,-0.3125,3
 Offer_308581070 Application_1481508354,-0.6491228070175439,-1.0,-0.6666666666666667,-0.6,-0.6,-1.0,-1.0,-0.75,-1.0,-1.0,-0.3333333333333333,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,1.0,-1.0,-0.7142857142857143,-1.0,-1.0,1.0,-1.0,-0.75,-0.375,2
 Application_1331967235 Offer_998414863 Offer_8322820,-0.4035087719298246,-0.75,-0.3333333333333333,-0.6,-0.6,-1.0,-1.0,-0.5,-1.0,-0.75,-0.3333333333333333,-1.0,-1.0,0.0,-0.75,-1.0,-1.0,-1.0,-0.7142857142857142,-0.4285714285714286,-1.0,-1.0,1.0,-1.0,-0.75,-0.25,4
 Application_547268346 Offer_2042525838,-0.7543859649122807,-1.0,-0.6666666666666667,-1.0,-1.0,-1.0,-1.0,-0.75,-1.0,-1.0,-0.3333333333333333,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.7142857142857143,-1.0,-1.0,1.0,-1.0,-0.75,-0.5625,1
 Offer_1152030006 Application_1833437649 Offer_675219409,-0.543859649122807,-0.75,-0.6666666666666667,-1.0,-1.0,-1.0,-1.0,-0.75,-1.0,-0.75,-0.3333333333333333,-1.0,-1.0,0.0,-0.75,-1.0,-1.0,-1.0,-0.7142857142857142,-0.4285714285714286,-1.0,-1.0,1.0,-1.0,-0.75,-0.375,1
 Application_1579831116 Offer_460728617,-0.7192982456140351,-1.0,-0.6666666666666667,-1.0,-1.0,-1.0,-1.0,-0.75,-1.0,-1.0,-0.3333333333333333,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,1.0,-1.0,-0.7142857142857143,-1.0,-1.0,1.0,-1.0,-0.75,-0.5,0
 Offer_638850381 Offer_1308654730 Application_571865892,-0.5087719298245614,-0.75,-0.6666666666666667,-1.0,-1.0,-1.0,-1.0,-0.75,-1.0,-0.75,-0.3333333333333333,-1.0,-1.0,0.0,-0.75,-1.0,-1.0,1.0,-0.7142857142857142,-0.4285714285714286,-1.0,-1.0,1.0,-1.0,-0.75,-0.3125,3
 Offer_1905714184 Application_1887225903 Offer_294034758,-0.368421052631579,-0.75,-0.3333333333333333,-0.6,-0.6,-1.0,-1.0,-0.5,-1.0,-0.75,-0.3333333333333333,-1.0,-1.0,0.0,-0.75,-1.0,-1.0,1.0,-0.7142857142857142,-0.4285714285714286,-1.0,-1.0,1.0,-1.0,-0.75,-0.1875,3
 Offer_1239923955 Offer_1732752556 Application_740999060,-0.368421052631579,-0.75,-0.3333333333333333,-0.6,-0.6,-1.0,-1.0,-0.5,-1.0,-0.75,-0.3333333333333333,-1.0,-1.0,0.0,-0.75,-1.0,-1.0,1.0,-0.7142857142857142,-0.4285714285714286,-1.0,-1.0,1.0,-1.0,-0.75,-0.1875,3
 Offer_371237667 Application_206518775,-0.7192982456140351,-1.0,-0.6666666666666667,-1.0,-1.0,-1.0,-1.0,-0.75,-1.0,-1.0,-0.3333333333333333,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,1.0,-1.0,-0.7142857142857143,-1.0,-1.0,1.0,-1.0,-0.75,-0.5,0
 Application_417003502 Offer_991413296,-0.7192982456140351,-1.0,-0.6666666666666667,-1.0,-1.0,-1.0,-1.0,-0.75,-1.0,-1.0,-0.3333333333333333,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,1.0,-1.0,-0.7142857142857143,-1.0,-1.0,1.0,-1.0,-0.75,-0.5,0
 Application_836609181 Offer_815765126 Offer_1313348386,-0.4736842105263158,-0.75,-0.6666666666666667,-1.0,-1.0,-1.0,-1.0,-0.75,-1.0,-0.75,-0.3333333333333333,-1.0,-1.0,0.0,-0.75,-1.0,-0.5,1.0,-0.7142857142857142,-0.4285714285714286,-1.0,-1.0,1.0,-1.0,-0.75,-0.25,3
 Offer_626712523 Application_188078604,-0.6842105263157895,-1.0,-0.6666666666666667,-1.0,-1.0,-1.0,-1.0,-0.75,-1.0,-1.0,-0.3333333333333333,-1.0,-1.0,0.0,-1.0,-1.0,-0.5,1.0,-1.0,-0.7142857142857143,-1.0,-1.0,1.0,-1.0,-0.75,-0.4375,0
 Offer_772422471 Application_426493590,-0.7192982456140351,-1.0,-0.6666666666666667,-1.0,-1.0,-1.0,-1.0,-0.75,-1.0,-1.0,-0.3333333333333333,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,1.0,-1.0,-0.7142857142857143,-1.0,-1.0,1.0,-1.0,-0.75,-0.5,0
 Offer_708245141 Application_1922336058,-0.5789473684210527,-1.0,-0.3333333333333333,-0.6,-0.6,-1.0,-1.0,-0.5,-1.0,-1.0,-0.3333333333333333,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,1.0,-1.0,-0.7142857142857143,-1.0,-1.0,1.0,-1.0,-0.75,-0.375,2
 Application_988584174 Offer_1950901984,-0.7192982456140351,-1.0,-0.6666666666666667,-1.0,-1.0,-1.0,-1.0,-0.75,-1.0,-1.0,-0.3333333333333333,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,1.0,-1.0,-0.7142857142857143,-1.0,-1.0,1.0,-1.0,-0.75,-0.5,0
 Offer_1294088424 Offer_78924672 Application_1465403463,-0.5789473684210527,-0.75,-0.6666666666666667,-1.0,-1.0,-1.0,-1.0,-0.75,-1.0,-0.75,-1.0,-1.0,-1.0,0.0,-0.75,-1.0,-1.0,1.0,-0.7142857142857142,-0.4285714285714286,-1.0,-1.0,1.0,-1.0,-1.0,-0.4375,0
 Offer_1072223129 Offer_56752215 Application_1679262953,-0.6140350877192983,-0.75,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.75,-1.0,-1.0,-1.0,0.0,-0.75,-1.0,-1.0,1.0,-0.7142857142857142,-0.4285714285714286,-1.0,-1.0,1.0,-1.0,-0.75,-0.5,0
 Application_1307008167 Offer_329288002,-0.5789473684210527,-1.0,-0.3333333333333333,-0.6,-0.6,-1.0,-1.0,-0.5,-1.0,-1.0,-0.3333333333333333,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,1.0,-1.0,-0.7142857142857143,-1.0,-1.0,1.0,-1.0,-0.75,-0.375,2
